Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
ST_MYOCYTE_AD_PATHWAY	0	NA	NA	NA	NA	NA	NA
CHESLER_BRAIN_HIGHEST_GENETIC_VARIANCE	0	NA	NA	NA	NA	NA	NA
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION	0	NA	NA	NA	NA	NA	NA
RAMPON_ENRICHED_LEARNING_ENVIRONMENT_LATE_UP	0	NA	NA	NA	NA	NA	NA
OXFORD_RALA_OR_RALB_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
GOUYER_TATI_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
MIKKELSEN_ES_HCP_WITH_H3_UNMETHYLATED	0	NA	NA	NA	NA	NA	NA
PIONTEK_PKD1_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
XU_RESPONSE_TO_TRETINOIN_UP	0	NA	NA	NA	NA	NA	NA
BIOCARTA_TRKA_PATHWAY	0	NA	NA	NA	NA	NA	NA
BIOCARTA_IL12_PATHWAY	0	NA	NA	NA	NA	NA	NA
FIGUEROA_AML_METHYLATION_CLUSTER_4_DN	0	NA	NA	NA	NA	NA	NA
PID_AR_NONGENOMIC_PATHWAY	0	NA	NA	NA	NA	NA	NA
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP	0	NA	NA	NA	NA	NA	NA
SMID_BREAST_CANCER_RELAPSE_IN_LUNG_DN	0	NA	NA	NA	NA	NA	NA
ST_G_ALPHA_S_PATHWAY	0	NA	NA	NA	NA	NA	NA
TAVOR_CEBPA_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
LEE_METASTASIS_AND_RNA_PROCESSING_UP	0	NA	NA	NA	NA	NA	NA
REACTOME_HYALURONAN_METABOLISM	0	NA	NA	NA	NA	NA	NA
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_25	0	NA	NA	NA	NA	NA	NA
BOYLAN_MULTIPLE_MYELOMA_C_CLUSTER_DN	0	NA	NA	NA	NA	NA	NA
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_27	0	NA	NA	NA	NA	NA	NA
FIGUEROA_AML_METHYLATION_CLUSTER_6_DN	0	NA	NA	NA	NA	NA	NA
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0	NA	NA	NA	NA	NA	NA
REACTOME_CGMP_EFFECTS	0	NA	NA	NA	NA	NA	NA
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_23	0	NA	NA	NA	NA	NA	NA
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_24	0	NA	NA	NA	NA	NA	NA
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING	0	NA	NA	NA	NA	NA	NA
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	0	NA	NA	NA	NA	NA	NA
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_29	0	NA	NA	NA	NA	NA	NA
ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_DN	0	NA	NA	NA	NA	NA	NA
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREY_UP	0	NA	NA	NA	NA	NA	NA
WEBER_METHYLATED_IN_COLON_CANCER	0	NA	NA	NA	NA	NA	NA
TERAMOTO_OPN_TARGETS_CLUSTER_4	0	NA	NA	NA	NA	NA	NA
PID_CD8_TCR_PATHWAY	0	NA	NA	NA	NA	NA	NA
OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_DN	0	NA	NA	NA	NA	NA	NA
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	0	NA	NA	NA	NA	NA	NA
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS	0	NA	NA	NA	NA	NA	NA
BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN	0	NA	NA	NA	NA	NA	NA
LUND_SILENCED_BY_METHYLATION	0	NA	NA	NA	NA	NA	NA
DELACROIX_RAR_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
LEI_HOXC8_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
BIOCARTA_INFLAM_PATHWAY	0	NA	NA	NA	NA	NA	NA
SASAKI_TARGETS_OF_TP73_AND_TP63	0	NA	NA	NA	NA	NA	NA
AIGNER_ZEB1_TARGETS	0	NA	NA	NA	NA	NA	NA
MAINA_VHL_TARGETS_UP	0	NA	NA	NA	NA	NA	NA
PID_ECADHERIN_STABILIZATION_PATHWAY	0	NA	NA	NA	NA	NA	NA
REACTOME_PURINE_SALVAGE	0	NA	NA	NA	NA	NA	NA
KLEIN_TARGETS_OF_BCR_ABL1_FUSION	0	NA	NA	NA	NA	NA	NA
DING_LUNG_CANCER_BY_MUTATION_RATE	0	NA	NA	NA	NA	NA	NA
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	0	NA	NA	NA	NA	NA	NA
AUJLA_IL22_AND_IL17A_SIGNALING	0	NA	NA	NA	NA	NA	NA
KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS	0	NA	NA	NA	NA	NA	NA
BIOCARTA_FCER1_PATHWAY	0	NA	NA	NA	NA	NA	NA
LAIHO_COLORECTAL_CANCER_SERRATED_DN	0	NA	NA	NA	NA	NA	NA
QI_HYPOXIA_TARGETS_OF_HIF1A_AND_FOXA2	0	NA	NA	NA	NA	NA	NA
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	0	NA	NA	NA	NA	NA	NA
WAKASUGI_HAVE_ZNF143_BINDING_SITES	0	NA	NA	NA	NA	NA	NA
MURATA_VIRULENCE_OF_H_PILORI	0	NA	NA	NA	NA	NA	NA
REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION	0	NA	NA	NA	NA	NA	NA
VERNOCHET_ADIPOGENESIS	0	NA	NA	NA	NA	NA	NA
AMIT_EGF_RESPONSE_40_MCF10A	0	NA	NA	NA	NA	NA	NA
CROONQUIST_STROMAL_STIMULATION_DN	0	NA	NA	NA	NA	NA	NA
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP	0	NA	NA	NA	NA	NA	NA
PID_PI3K_PLC_TRK_PATHWAY	0	NA	NA	NA	NA	NA	NA
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0	NA	NA	NA	NA	NA	NA
NIKOLSKY_BREAST_CANCER_20Q12_Q13_AMPLICON	0	NA	NA	NA	NA	NA	NA
CHEN_ETV5_TARGETS_SERTOLI	0	NA	NA	NA	NA	NA	NA
REACTOME_SIGNALLING_TO_ERKS	0	NA	NA	NA	NA	NA	NA
PID_TRKR_PATHWAY	0	NA	NA	NA	NA	NA	NA
BIOCARTA_GABA_PATHWAY	0	NA	NA	NA	NA	NA	NA
NIELSEN_MALIGNAT_FIBROUS_HISTIOCYTOMA_DN	0	NA	NA	NA	NA	NA	NA
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_15	0	NA	NA	NA	NA	NA	NA
CONRAD_GERMLINE_STEM_CELL	0	NA	NA	NA	NA	NA	NA
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_16	0	NA	NA	NA	NA	NA	NA
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_17	0	NA	NA	NA	NA	NA	NA
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0	NA	NA	NA	NA	NA	NA
PHESSE_TARGETS_OF_APC_AND_MBD2_DN	0	NA	NA	NA	NA	NA	NA
ROY_WOUND_BLOOD_VESSEL_DN	0	NA	NA	NA	NA	NA	NA
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0	NA	NA	NA	NA	NA	NA
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_MAGENTA_DN	0	NA	NA	NA	NA	NA	NA
XU_AKT1_TARGETS_6HR	0	NA	NA	NA	NA	NA	NA
REACTOME_BOTULINUM_NEUROTOXICITY	0	NA	NA	NA	NA	NA	NA
REACTOME_CS_DS_DEGRADATION	0	NA	NA	NA	NA	NA	NA
GARCIA_TARGETS_OF_FLI1_AND_DAX1_UP	0	NA	NA	NA	NA	NA	NA
YIH_RESPONSE_TO_ARSENITE_C5	0	NA	NA	NA	NA	NA	NA
WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_H2O2	0	NA	NA	NA	NA	NA	NA
MADAN_DPPA4_TARGETS	0	NA	NA	NA	NA	NA	NA
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0	NA	NA	NA	NA	NA	NA
WORSCHECH_TUMOR_REJECTION_DN	0	NA	NA	NA	NA	NA	NA
YIH_RESPONSE_TO_ARSENITE_C1	0	NA	NA	NA	NA	NA	NA
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_LIGHTYELLOW_DN	0	NA	NA	NA	NA	NA	NA
KYNG_RESPONSE_TO_H2O2_VIA_ERCC6	0	NA	NA	NA	NA	NA	NA
PARK_APL_PATHOGENESIS_UP	0	NA	NA	NA	NA	NA	NA
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS	0	NA	NA	NA	NA	NA	NA
ZAIDI_OSTEOBLAST_TRANSCRIPTION_FACTORS	0	NA	NA	NA	NA	NA	NA
RAMPON_ENRICHED_LEARNING_ENVIRONMENT_EARLY_UP	0	NA	NA	NA	NA	NA	NA
KORKOLA_EMBRYONAL_CARCINOMA	0	NA	NA	NA	NA	NA	NA
GOERING_BLOOD_HDL_CHOLESTEROL_QTL_CIS	0	NA	NA	NA	NA	NA	NA
KEGG_STEROID_BIOSYNTHESIS	0	NA	NA	NA	NA	NA	NA
REACTOME_INTEGRATION_OF_PROVIRUS	0	NA	NA	NA	NA	NA	NA
WEBER_METHYLATED_LCP_IN_FIBROBLAST_DN	0	NA	NA	NA	NA	NA	NA
BIOCARTA_IL2_PATHWAY	0	NA	NA	NA	NA	NA	NA
PID_S1P_S1P4_PATHWAY	0	NA	NA	NA	NA	NA	NA
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLP1	0	NA	NA	NA	NA	NA	NA
DANG_MYC_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
CERVERA_SDHB_TARGETS_1_DN	0	NA	NA	NA	NA	NA	NA
LEE_DOUBLE_POLAR_THYMOCYTE	0	NA	NA	NA	NA	NA	NA
NAGY_TFTC_COMPONENTS_HUMAN	0	NA	NA	NA	NA	NA	NA
MILICIC_FAMILIAL_ADENOMATOUS_POLYPOSIS_UP	0	NA	NA	NA	NA	NA	NA
BIOCARTA_THELPER_PATHWAY	0	NA	NA	NA	NA	NA	NA
REACTOME_OPSINS	0	NA	NA	NA	NA	NA	NA
WATANABE_COLON_CANCER_MSI_VS_MSS_UP	0	NA	NA	NA	NA	NA	NA
ONO_AML1_TARGETS_UP	0	NA	NA	NA	NA	NA	NA
KUROKAWA_LIVER_CANCER_CHEMOTHERAPY_UP	0	NA	NA	NA	NA	NA	NA
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	0	NA	NA	NA	NA	NA	NA
NICK_RESPONSE_TO_PROC_TREATMENT_DN	0	NA	NA	NA	NA	NA	NA
LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_QTL	0	NA	NA	NA	NA	NA	NA
YANG_BREAST_CANCER_ESR1_BULK_UP	0	NA	NA	NA	NA	NA	NA
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_GRANULOCYTE_DN	0	NA	NA	NA	NA	NA	NA
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	0	NA	NA	NA	NA	NA	NA
ZEMBUTSU_SENSITIVITY_TO_MITOMYCIN	0	NA	NA	NA	NA	NA	NA
KEGG_CARDIAC_MUSCLE_CONTRACTION	0	NA	NA	NA	NA	NA	NA
HEIDENBLAD_AMPLIFIED_IN_SOFT_TISSUE_CANCER	0	NA	NA	NA	NA	NA	NA
BIOCARTA_CTLA4_PATHWAY	0	NA	NA	NA	NA	NA	NA
BIOCARTA_HDAC_PATHWAY	0	NA	NA	NA	NA	NA	NA
PID_TCR_JNK_PATHWAY	0	NA	NA	NA	NA	NA	NA
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX4_UP	0	NA	NA	NA	NA	NA	NA
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_DN	0	NA	NA	NA	NA	NA	NA
BIOCARTA_PITX2_PATHWAY	0	NA	NA	NA	NA	NA	NA
BIOCARTA_IL7_PATHWAY	0	NA	NA	NA	NA	NA	NA
KORKOLA_TERATOMA_UP	0	NA	NA	NA	NA	NA	NA
NIELSEN_LEIOMYOSARCOMA_CNN1_DN	0	NA	NA	NA	NA	NA	NA
REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER	0	NA	NA	NA	NA	NA	NA
LANDIS_ERBB2_BREAST_TUMORS_65_UP	0	NA	NA	NA	NA	NA	NA
BIOCARTA_SODD_PATHWAY	0	NA	NA	NA	NA	NA	NA
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX	0	NA	NA	NA	NA	NA	NA
MAYBURD_RESPONSE_TO_L663536_UP	0	NA	NA	NA	NA	NA	NA
MURAKAMI_UV_RESPONSE_1HR_DN	0	NA	NA	NA	NA	NA	NA
REACTOME_DEFENSINS	0	NA	NA	NA	NA	NA	NA
REACTOME_GLUCONEOGENESIS	0	NA	NA	NA	NA	NA	NA
PID_IL8_CXCR1_PATHWAY	0	NA	NA	NA	NA	NA	NA
PID_IL4_2PATHWAY	0	NA	NA	NA	NA	NA	NA
BIOCARTA_BARRESTIN_SRC_PATHWAY	0	NA	NA	NA	NA	NA	NA
KANG_AR_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
MARCHINI_TRABECTEDIN_RESISTANCE_UP	0	NA	NA	NA	NA	NA	NA
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS	0	NA	NA	NA	NA	NA	NA
REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0	NA	NA	NA	NA	NA	NA
MIZUKAMI_HYPOXIA_UP	0	NA	NA	NA	NA	NA	NA
REACTOME_REGULATION_OF_COMPLEMENT_CASCADE	0	NA	NA	NA	NA	NA	NA
LEE_NAIVE_T_LYMPHOCYTE	0	NA	NA	NA	NA	NA	NA
MATZUK_EMBRYONIC_GERM_CELL	0	NA	NA	NA	NA	NA	NA
MIKKELSEN_PARTIALLY_REPROGRAMMED_TO_PLURIPOTENCY	0	NA	NA	NA	NA	NA	NA
STEGMEIER_PRE-MITOTIC_CELL_CYCLE_REGULATORS	0	NA	NA	NA	NA	NA	NA
KYNG_ENVIRONMENTAL_STRESS_RESPONSE_NOT_BY_UV_IN_WS	0	NA	NA	NA	NA	NA	NA
BIOCARTA_PS1_PATHWAY	0	NA	NA	NA	NA	NA	NA
ZHAN_V1_LATE_DIFFERENTIATION_GENES_DN	0	NA	NA	NA	NA	NA	NA
PID_NEPHRIN_NEPH1_PATHWAY	0	NA	NA	NA	NA	NA	NA
MARKS_HDAC_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
REACTOME_EGFR_DOWNREGULATION	0	NA	NA	NA	NA	NA	NA
WANG_THOC1_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
HUMMERICH_BENIGN_SKIN_TUMOR_DN	0	NA	NA	NA	NA	NA	NA
PID_IL2_STAT5_PATHWAY	0	NA	NA	NA	NA	NA	NA
NIELSEN_SYNOVIAL_SARCOMA_DN	0	NA	NA	NA	NA	NA	NA
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	0	NA	NA	NA	NA	NA	NA
MARTINELLI_IMMATURE_NEUTROPHIL_UP	0	NA	NA	NA	NA	NA	NA
GAJATE_RESPONSE_TO_TRABECTEDIN_DN	0	NA	NA	NA	NA	NA	NA
SCHWAB_TARGETS_OF_BMYB_POLYMORPHIC_VARIANTS_UP	0	NA	NA	NA	NA	NA	NA
REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1	0	NA	NA	NA	NA	NA	NA
HAHTOLA_MYCOSIS_FUNGOIDES_UP	0	NA	NA	NA	NA	NA	NA
ZEMBUTSU_SENSITIVITY_TO_DOXORUBICIN	0	NA	NA	NA	NA	NA	NA
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	0	NA	NA	NA	NA	NA	NA
COLLIS_PRKDC_REGULATORS	0	NA	NA	NA	NA	NA	NA
ZHAN_LATE_DIFFERENTIATION_GENES_DN	0	NA	NA	NA	NA	NA	NA
BIOCARTA_NKT_PATHWAY	0	NA	NA	NA	NA	NA	NA
LIU_BREAST_CANCER	0	NA	NA	NA	NA	NA	NA
MARSON_FOXP3_CORE_DIRECT_TARGETS	0	NA	NA	NA	NA	NA	NA
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING	0	NA	NA	NA	NA	NA	NA
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN	0	NA	NA	NA	NA	NA	NA
SEMBA_FHIT_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY	0	NA	NA	NA	NA	NA	NA
RICKMAN_HEAD_AND_NECK_CANCER_D	0	NA	NA	NA	NA	NA	NA
REACTOME_ETHANOL_OXIDATION	0	NA	NA	NA	NA	NA	NA
RICKMAN_HEAD_AND_NECK_CANCER_B	0	NA	NA	NA	NA	NA	NA
SHI_SPARC_TARGETS_UP	0	NA	NA	NA	NA	NA	NA
JI_CARCINOGENESIS_BY_KRAS_AND_STK11_DN	0	NA	NA	NA	NA	NA	NA
REACTOME_SIGNALLING_TO_RAS	0	NA	NA	NA	NA	NA	NA
PID_HIF2PATHWAY	0	NA	NA	NA	NA	NA	NA
REACTOME_REGULATION_OF_IFNA_SIGNALING	0	NA	NA	NA	NA	NA	NA
BIOCARTA_IL2RB_PATHWAY	0	NA	NA	NA	NA	NA	NA
AMIT_SERUM_RESPONSE_20_MCF10A	0	NA	NA	NA	NA	NA	NA
KEGG_PRIMARY_IMMUNODEFICIENCY	0	NA	NA	NA	NA	NA	NA
MURAKAMI_UV_RESPONSE_6HR_DN	0	NA	NA	NA	NA	NA	NA
KEGG_HOMOLOGOUS_RECOMBINATION	0	NA	NA	NA	NA	NA	NA
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0	NA	NA	NA	NA	NA	NA
WONG_ENDOMETRIAL_CANCER_LATE	0	NA	NA	NA	NA	NA	NA
DEMAGALHAES_AGING_DN	0	NA	NA	NA	NA	NA	NA
BIOCARTA_LONGEVITY_PATHWAY	0	NA	NA	NA	NA	NA	NA
GRABARCZYK_BCL11B_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
BIOCARTA_EGF_PATHWAY	0	NA	NA	NA	NA	NA	NA
SUZUKI_AMPLIFIED_IN_ORAL_CANCER	0	NA	NA	NA	NA	NA	NA
VANDESLUIS_NORMAL_EMBRYOS_DN	0	NA	NA	NA	NA	NA	NA
CAFFAREL_RESPONSE_TO_THC_8HR_3_DN	0	NA	NA	NA	NA	NA	NA
KOBAYASHI_RESPONSE_TO_ROMIDEPSIN	0	NA	NA	NA	NA	NA	NA
REACTOME_SIGNALING_BY_BMP	0	NA	NA	NA	NA	NA	NA
RODRIGUES_NTN1_TARGETS_UP	0	NA	NA	NA	NA	NA	NA
PID_WNT_CANONICAL_PATHWAY	0	NA	NA	NA	NA	NA	NA
WEBER_METHYLATED_HCP_IN_SPERM_DN	0	NA	NA	NA	NA	NA	NA
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0	NA	NA	NA	NA	NA	NA
IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_DN	0	NA	NA	NA	NA	NA	NA
MEISSNER_BRAIN_HCP_WITH_H3_UNMETHYLATED	0	NA	NA	NA	NA	NA	NA
REACTOME_SIGNALING_BY_FGFR3_MUTANTS	0	NA	NA	NA	NA	NA	NA
REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION	0	NA	NA	NA	NA	NA	NA
BIOCARTA_BARR_MAPK_PATHWAY	0	NA	NA	NA	NA	NA	NA
TSAI_RESPONSE_TO_RADIATION_THERAPY	0	NA	NA	NA	NA	NA	NA
WEBER_METHYLATED_ICP_IN_SPERM_DN	0	NA	NA	NA	NA	NA	NA
OXFORD_RALA_AND_RALB_TARGETS_UP	0	NA	NA	NA	NA	NA	NA
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	0	NA	NA	NA	NA	NA	NA
KYNG_ENVIRONMENTAL_STRESS_RESPONSE_NOT_BY_4NQO_IN_OLD	0	NA	NA	NA	NA	NA	NA
KORKOLA_EMBRYONAL_CARCINOMA_UP	0	NA	NA	NA	NA	NA	NA
PHESSE_TARGETS_OF_APC_AND_MBD2_UP	0	NA	NA	NA	NA	NA	NA
BIOCARTA_STEM_PATHWAY	0	NA	NA	NA	NA	NA	NA
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0	NA	NA	NA	NA	NA	NA
SCHLESINGER_H3K27ME3_IN_NORMAL_AND_METHYLATED_IN_CANCER	0	NA	NA	NA	NA	NA	NA
PID_ERB_GENOMIC_PATHWAY	0	NA	NA	NA	NA	NA	NA
REACTOME_SHC_RELATED_EVENTS	0	NA	NA	NA	NA	NA	NA
BIOCARTA_SARS_PATHWAY	0	NA	NA	NA	NA	NA	NA
BIOCARTA_DNAFRAGMENT_PATHWAY	0	NA	NA	NA	NA	NA	NA
KOINUMA_COLON_CANCER_MSI_UP	0	NA	NA	NA	NA	NA	NA
POS_RESPONSE_TO_HISTAMINE_DN	0	NA	NA	NA	NA	NA	NA
BIOCARTA_GLYCOLYSIS_PATHWAY	0	NA	NA	NA	NA	NA	NA
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING	0	NA	NA	NA	NA	NA	NA
CARDOSO_RESPONSE_TO_GAMMA_RADIATION_AND_3AB	0	NA	NA	NA	NA	NA	NA
VISALA_AGING_LYMPHOCYTE_DN	0	NA	NA	NA	NA	NA	NA
MOOTHA_GLYCOLYSIS	0	NA	NA	NA	NA	NA	NA
MIKKELSEN_MEF_ICP_WITH_H3K4ME3_AND_H3K27ME3	0	NA	NA	NA	NA	NA	NA
BIOCARTA_CDC42RAC_PATHWAY	0	NA	NA	NA	NA	NA	NA
REACTOME_G0_AND_EARLY_G1	0	NA	NA	NA	NA	NA	NA
SEIKE_LUNG_CANCER_POOR_SURVIVAL	0	NA	NA	NA	NA	NA	NA
REACTOME_EXTENSION_OF_TELOMERES	0	NA	NA	NA	NA	NA	NA
BRUNEAU_SEPTATION_VENTRICULAR	0	NA	NA	NA	NA	NA	NA
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	0	NA	NA	NA	NA	NA	NA
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0	NA	NA	NA	NA	NA	NA
BIOCARTA_TCRA_PATHWAY	0	NA	NA	NA	NA	NA	NA
REACTOME_FRS2_MEDIATED_CASCADE	0	NA	NA	NA	NA	NA	NA
BIOCARTA_MEF2D_PATHWAY	0	NA	NA	NA	NA	NA	NA
REACTOME_ANDROGEN_BIOSYNTHESIS	0	NA	NA	NA	NA	NA	NA
BIOCARTA_CALCINEURIN_PATHWAY	0	NA	NA	NA	NA	NA	NA
PID_ERBB1_INTERNALIZATION_PATHWAY	0	NA	NA	NA	NA	NA	NA
SILIGAN_TARGETS_OF_EWS_FLI1_FUSION_UP	0	NA	NA	NA	NA	NA	NA
SAMOLS_TARGETS_OF_KHSV_MIRNAS_DN	0	NA	NA	NA	NA	NA	NA
PID_GMCSF_PATHWAY	0	NA	NA	NA	NA	NA	NA
BOYAULT_LIVER_CANCER_SUBCLASS_G6_DN	0	NA	NA	NA	NA	NA	NA
